id,name,protein,carbs,fats,calories
1,Apple,0.3,25,0.2,95
2,Banana,1.3,27,0.3,105
3,Orange,1.2,12,0.2,62
4,Mango,0.8,25,0.4,99
5,Strawberry,0.8,11,0.3,50
6,Tomato,0.9,4,0.2,18
7,BellPepper,1.0,9,0.3,31
8,Broccoli,2.8,6,0.4,55
9,Beans,1.8,8,0.2,35
10,Carrot,1.3,10,0.1,41
11,Burger,25,40,19,500
12,Pasta,7,75,1.5,370
13,Salmon,20,0,13,206
14,Pizza,11,36,10,266
15,Fries,3.4,41,17,365
